date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:36:39	104078/104078	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225d645780-1968e%22	https://play.cprewritten.net/assets/themes/snowball/fonts/ArialNarrow-Bold.eot?	C:/Users/Letfo/Desktop/CPR/CPR/play.cprewritten.net/assets/themes/snowball/fonts/ArialNarrow-Boldd41d.eot	(from https://play.cprewritten.net/)
01:36:39	53812/53812	---M--	200	added ('OK')	font/woff2	etag:%225d645780-d234%22	https://play.cprewritten.net/assets/themes/snowball/fonts/ArialNarrow-Bold.woff2	C:/Users/Letfo/Desktop/CPR/CPR/play.cprewritten.net/assets/themes/snowball/fonts/ArialNarrow-Bold.woff2	(from https://play.cprewritten.net/)
01:36:40	67104/67104	---M--	200	added ('OK')	font/woff	etag:%225d645780-10620%22	https://play.cprewritten.net/assets/themes/snowball/fonts/ArialNarrow-Bold.woff	C:/Users/Letfo/Desktop/CPR/CPR/play.cprewritten.net/assets/themes/snowball/fonts/ArialNarrow-Bold.woff	(from https://play.cprewritten.net/)
01:36:40	103888/103888	---M--	200	added ('OK')	application/octet-stream	etag:%225d645780-195d0%22	https://play.cprewritten.net/assets/themes/snowball/fonts/ArialNarrow-Bold.ttf	C:/Users/Letfo/Desktop/CPR/CPR/play.cprewritten.net/assets/themes/snowball/fonts/ArialNarrow-Bold.ttf	(from https://play.cprewritten.net/)
01:36:40	188867/188867	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225d645780-2e1c3%22	https://play.cprewritten.net/assets/themes/snowball/fonts/ArialNarrow-Bold.svg	C:/Users/Letfo/Desktop/CPR/CPR/play.cprewritten.net/assets/themes/snowball/fonts/ArialNarrow-Bold.svg	(from https://play.cprewritten.net/)
01:36:40	103706/103706	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225d645780-1951a%22	https://play.cprewritten.net/assets/themes/snowball/fonts/ArialNarrow.eot	C:/Users/Letfo/Desktop/CPR/CPR/play.cprewritten.net/assets/themes/snowball/fonts/ArialNarrow.eot	(from https://play.cprewritten.net/)
01:36:41	103706/103706	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225d645780-1951a%22	https://play.cprewritten.net/assets/themes/snowball/fonts/ArialNarrow.eot?	C:/Users/Letfo/Desktop/CPR/CPR/play.cprewritten.net/assets/themes/snowball/fonts/ArialNarrowd41d.eot	(from https://play.cprewritten.net/)
01:36:41	67712/67712	---M--	200	added ('OK')	font/woff	etag:%225d645780-10880%22	https://play.cprewritten.net/assets/themes/snowball/fonts/ArialNarrow.woff	C:/Users/Letfo/Desktop/CPR/CPR/play.cprewritten.net/assets/themes/snowball/fonts/ArialNarrow.woff	(from https://play.cprewritten.net/)
01:36:42	103520/103520	---M--	200	added ('OK')	application/octet-stream	etag:%225d645780-19460%22	https://play.cprewritten.net/assets/themes/snowball/fonts/ArialNarrow.ttf	C:/Users/Letfo/Desktop/CPR/CPR/play.cprewritten.net/assets/themes/snowball/fonts/ArialNarrow.ttf	(from https://play.cprewritten.net/)
01:36:42	193691/193691	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225d645780-2f49b%22	https://play.cprewritten.net/assets/themes/snowball/fonts/ArialNarrow.svg	C:/Users/Letfo/Desktop/CPR/CPR/play.cprewritten.net/assets/themes/snowball/fonts/ArialNarrow.svg	(from https://play.cprewritten.net/)
